A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
69,246.7105688822756,1.0,0.13374079891890572,341.8469121297064,1.0,0.11995129500854114,125.1440371190862,10.0,0.5598271174797954,324.22338442848945,1.5,0.4253936345450382,349.93049900637294,10.0,0.6820244238882051,4.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,0,Best Policy,dikesnet,2449551957.391081,149184888.60441038,0
14,193.4239003071012,1.0,0.9465392477542592,192.56756679321998,1.5,0.0965667503504415,253.39872582298045,1.0,0.20912102972350213,83.24334409306384,1.0,0.8039859308170002,34.01511562037532,10.0,0.44348052295455215,3.5,3.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,1,Best Policy,dikesnet,96719737.98820344,149184888.60441038,0
132,133.03909620849882,1.5,0.27179768065025334,71.17185250125857,10.0,0.23914341836823205,59.965348187361386,10.0,0.36243226164997344,179.43968411173375,10.0,0.3715321100226214,233.02046258811214,1.0,0.009084258809644759,4.5,3.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,2,Best Policy,dikesnet,746558831.4655936,149184888.60441038,0
52,311.87783158396724,1.5,0.5815725121427318,301.8738746282867,1.0,0.49916646531864534,34.46088609184946,1.0,0.297511823145209,322.94721638409476,10.0,0.9166037051946264,156.07285028765386,1.5,0.5780862127232101,3.5,3.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,3,Best Policy,dikesnet,5135140.402367956,149184888.60441038,0
94,230.49181619116868,10.0,0.5273087025120431,334.78652133991665,1.0,0.8210119832498481,36.69593515363181,10.0,0.5489154356835495,64.40756947880745,10.0,0.7160185495738618,256.79639687189933,1.5,0.6519545965765237,1.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,4,Best Policy,dikesnet,0.0,149184888.60441038,0
55,34.66839952629145,10.0,0.9026456264918642,55.71505729366798,10.0,0.23775751966342917,88.80916472099474,10.0,0.764512963027963,213.66242875401696,10.0,0.6406119990737627,63.17089651109608,10.0,0.9018477628980827,2.5,1.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,5,Best Policy,dikesnet,24919804.379343834,149184888.60441038,0
92,264.5526690829695,10.0,0.743350481157401,142.4822507560924,1.5,0.41324051045786186,283.70845263422717,1.5,0.823517507547705,342.1090670905511,1.5,0.9959284067141174,320.83736517066205,1.5,0.28454159510668803,2.5,1.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,6,Best Policy,dikesnet,41215535.18233407,149184888.60441038,0
23,306.1768445952776,10.0,0.6327975961306813,234.3842549107512,1.0,0.008743383621373023,304.3487477772897,10.0,0.6326778306864691,129.41378127513212,1.0,0.8190485835056129,149.3523958720604,1.5,0.07499771414659959,3.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,7,Best Policy,dikesnet,925850589.0662248,149184888.60441038,0
131,270.2697778194008,1.5,0.3159887681157021,322.1044356749046,1.0,0.08748972160397175,235.07142368656534,1.0,0.7607322628843184,50.5504229076558,1.0,0.44671396029290444,240.16218554090852,10.0,0.8651483206705479,1.5,4.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,8,Best Policy,dikesnet,188087586.50740647,149184888.60441038,0
24,49.23220136455769,10.0,0.19942581549293076,158.81148061121291,1.0,0.18967522725631522,289.94860658683046,10.0,0.5218563141792455,35.701121620844425,10.0,0.0301199964618695,262.6915367540712,10.0,0.9528997079273983,4.5,3.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,9,Best Policy,dikesnet,382156020.3047717,149184888.60441038,0
69,341.3475251518012,1.0,0.9739806517777401,217.6040572533269,1.0,0.5852088463387017,187.28519977109323,10.0,0.5125343262497097,103.43172365471852,1.0,0.9262076839465259,128.05096765806275,1.5,0.46185371474941633,3.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,10,Best Policy,dikesnet,40863963.75983097,149184888.60441038,0
7,194.3086690915087,1.0,0.9399219725897257,227.20611378078604,10.0,0.6410953450585924,73.90659962339556,1.5,0.9371077433522892,222.25983516941594,1.5,0.21084857872212107,146.9476270567269,1.0,0.787563800334615,3.5,3.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,11,Best Policy,dikesnet,18738025.747497104,149184888.60441038,0
113,256.9192899534924,1.0,0.6046064200539588,36.44246041441601,1.5,0.17506727933518246,83.39380676674246,1.0,0.6198486490940242,129.6913135833941,1.0,0.9002857126447226,167.6966791662387,1.5,0.12314300290095881,2.5,2.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,12,Best Policy,dikesnet,248181230.45766994,149184888.60441038,0
105,178.03286825872524,1.0,0.6834084144764383,254.46484411861033,10.0,0.979275929721001,50.84500704693041,10.0,0.1374053210678381,260.92227389095854,1.0,0.9224186967098207,182.69339311692238,1.5,0.46417320362669484,4.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,13,Best Policy,dikesnet,98692082.86512613,149184888.60441038,0
83,45.10595186041046,1.5,0.8824075456898645,86.6733595724587,1.0,0.6846817544184496,267.57656400471467,1.5,0.8684527155642362,153.15015761393235,1.0,0.8078612849738781,229.258873060455,1.5,0.029884578887488553,3.5,2.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,14,Best Policy,dikesnet,525091381.3854644,149184888.60441038,0
108,75.81352818497164,1.0,0.5305051785901712,194.67857774984313,1.0,0.3683706209730766,328.8329275489112,1.5,0.5910208306165968,261.05335912696637,1.5,0.1301561244711464,346.51397518845766,1.0,0.2831909684636454,4.5,1.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,15,Best Policy,dikesnet,53578192.843809724,149184888.60441038,0
36,202.34539623948154,10.0,0.0894099289397161,137.11994148947034,1.5,0.49050983864042436,319.98416703393724,1.0,0.8829451495323948,307.2701410734984,1.0,0.011883868174534675,89.95093553915575,10.0,0.8087052470914152,1.5,2.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,16,Best Policy,dikesnet,3369290999.067316,149184888.60441038,0
50,219.55342462075964,1.0,0.420667588126677,130.53350757779532,10.0,0.8536098850891326,191.1308073855239,1.5,0.28041030919406235,147.44001689765582,1.0,0.8952622988506531,201.1671015895415,10.0,0.5533438614171506,3.5,1.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,17,Best Policy,dikesnet,30302161.344662495,149184888.60441038,0
50,78.21073829500261,10.0,0.1304925078077914,224.48451105515917,1.0,0.24952300737357724,214.7338842800447,1.0,0.7901675020091665,215.2051514379579,10.0,0.7110365119642599,131.08862348820657,1.5,0.26488679770336176,4.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,18,Best Policy,dikesnet,1923178557.456818,149184888.60441038,0
76,92.41564719956817,1.5,0.7135429833142176,296.5464440222471,10.0,0.6138689955403921,182.83608333553224,10.0,0.6717999435070856,55.74650378787901,1.5,0.48083672860317156,32.528650527312685,10.0,0.08998838772679887,1.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,19,Best Policy,dikesnet,172451510.71142468,149184888.60441038,0
