A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
29,190.9623226164112,10.0,0.120087129497753,95.18492059524904,1.0,0.0385384437627355,168.06071032339565,1.5,0.0082930977150151,284.3162090680975,1.0,0.2492158813570833,339.350320741896,10.0,0.1716482866252679,3.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,265,Best Policy,dikesnet,5116507977.951677,149184888.60441038,0
118,41.95030780150013,10.0,0.0684900104362714,234.85818506507695,1.0,0.8291914031442112,233.31673097469863,1.5,0.3487917654420214,267.61512183105367,1.0,0.5167753728165628,241.36056194356547,10.0,0.3315134667904061,1.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,515,Best Policy,dikesnet,4047723449.4994073,149184888.60441038,0
101,264.08583287198246,10.0,0.0810586284202818,257.500313567867,1.5,0.6141651279968428,146.49122500928937,10.0,0.2313414078500389,126.54195815391562,1.0,0.2592041183248064,123.62543413772488,1.0,0.1469067872674117,1.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,459,Best Policy,dikesnet,4024250490.9943447,149184888.60441038,0
46,187.90191629552837,10.0,0.0952071231796951,137.43377580020336,1.0,0.0033858629414832,192.42217300718005,1.5,0.3767201207097965,324.52231334531183,1.0,0.7478299142421722,132.05906294695603,1.5,0.4700161683647006,4.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,753,Best Policy,dikesnet,3971009943.274547,149184888.60441038,0
42,72.93465619521488,1.0,0.1030415866018781,337.1242966180691,10.0,0.596456990578246,311.7975401684479,10.0,0.0120956149652668,32.58409724726936,10.0,0.6724290349182918,88.0693462882131,1.0,0.6787127781583707,4.5,3.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,910,Best Policy,dikesnet,3754330643.7398806,149184888.60441038,0
