,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
14,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,220.10502994060516,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44414,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
15,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,10.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44415,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
16,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.8884089635685086,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44416,DikeIncrease_1,dikesnet,98806866.63340795,380502892.142874,0
17,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,2.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44417,DikeIncrease_1,dikesnet,136887350.36001927,380502892.142874,0
18,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,4.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44418,DikeIncrease_1,dikesnet,97035569.3082917,380502892.142874,0
19,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44419,DikeIncrease_1,dikesnet,105642530.37193286,380502892.142874,0
20,10,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44420,DikeIncrease_1,dikesnet,108117842.4367216,380502892.142874,0
21,74,242.9075574874878,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44421,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
22,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44422,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
23,74,72.60015487670898,1.5,0.5743845021352172,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44423,DikeIncrease_1,dikesnet,112174745.8736615,380502892.142874,0
24,74,72.60015487670898,1.5,0.5254230629652739,299.20623272657394,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44424,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
25,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44425,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
26,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.1858269777148962,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44426,DikeIncrease_1,dikesnet,202525312.37612492,380502892.142874,0
27,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,88.10243457555771,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44427,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
