Parameter 1,Parameter 2,S2,S2_conf
A.1_pfail,A.3_Brate,-0.005053667158347269,0.13627565361313262
A.1_pfail,A.3_pfail,0.005853232771350775,0.12769396937012717
A.1_pfail,A.4_Bmax,-0.0047944973874420056,0.13625355583318433
A.1_pfail,A.4_Brate,-0.00499326317850586,0.13628913709280804
A.1_pfail,A.4_pfail,-0.002613169017131161,0.1356850860018535
A.1_pfail,A.5_Bmax,-0.004921037618277779,0.13627626678814495
A.1_pfail,A.5_Brate,-0.004921037618277779,0.13627626678814495
A.1_pfail,A.5_pfail,-0.004822890274342077,0.13721916559438574
A.1_pfail,discount rate 0,0.005490896315123769,0.13820015272662198
A.1_pfail,discount rate 1,0.005164350075876391,0.13803036143062222
A.1_pfail,discount rate 2,-0.002794528747838019,0.13874400981940788
A.2_Bmax,A.2_Brate,-0.0001611565195681725,0.0005983496088411664
A.2_Bmax,A.2_pfail,-0.0002859173735923152,0.0006319864266955428
A.2_Bmax,A.3_Bmax,-0.0001605961785057984,0.0005978782042848404
A.2_Bmax,A.3_Brate,-0.00016056797256700924,0.0005978152868928711
A.2_Bmax,A.3_pfail,-0.0004769996267766641,0.0007345410719207836
A.2_Bmax,A.4_Bmax,-0.00016071464926410017,0.0005978524834915389
A.2_Bmax,A.4_Brate,-0.00016047350164889913,0.0005978347883831657
A.2_Bmax,A.4_pfail,-0.00013215196912659847,0.0006033555801642369
A.2_Bmax,A.5_Bmax,-0.00016060718685663856,0.0005978463724001031
A.2_Bmax,A.5_Brate,-0.00016060718685663856,0.0005978463724001031
A.2_Bmax,A.5_pfail,-7.513557830721163e-05,0.0006108771243960151
A.2_Bmax,discount rate 0,-0.00016160392947841065,0.0005932441386775802
A.2_Bmax,discount rate 1,-0.00022646796054352373,0.0006058509760110077
A.2_Bmax,discount rate 2,-0.0001364487472350585,0.0005936066249229348
A.2_Brate,A.2_pfail,1.1802440556063845e-05,0.00017911762800549604
A.2_Brate,A.3_Bmax,-0.00016588686378331957,0.0002141429782395895
A.2_Brate,A.3_Brate,-0.00016560821038469296,0.00021418194176979965
A.2_Brate,A.3_pfail,0.00014563773223733034,0.00038248330979956006
A.2_Brate,A.4_Bmax,-0.00016559718016522098,0.00021418049828215383
A.2_Brate,A.4_Brate,-0.00016560962171950996,0.00021418157670985655
A.2_Brate,A.4_pfail,-0.0002024632516363302,0.0002601219089275773
A.2_Brate,A.5_Bmax,-0.00016560962171950988,0.00021418157670985655
A.2_Brate,A.5_Brate,-0.00016560962171950988,0.00021418157670985655
A.2_Brate,A.5_pfail,-0.00024665575866847887,0.00027544000467858874
A.2_Brate,discount rate 0,-0.00016528530412477597,0.00022252849922578137
A.2_Brate,discount rate 1,-0.00015388882346306185,0.00020604781086449027
A.2_Brate,discount rate 2,-0.0001641896634891199,0.00021388051534070382
A.2_pfail,A.3_Bmax,0.0032216371463168587,0.018882051842884003
A.2_pfail,A.3_Brate,0.003368538211245519,0.018798137389507977
A.2_pfail,A.3_pfail,0.0063456328076891555,0.019875089398625416
A.2_pfail,A.4_Bmax,0.003360881390736958,0.01879753139782172
A.2_pfail,A.4_Brate,0.003355336844056695,0.018798777762619956
A.2_pfail,A.4_pfail,0.0032687217695871813,0.018658980916565357
A.2_pfail,A.5_Bmax,0.0033615863314085982,0.018797380379047737
A.2_pfail,A.5_Brate,0.0033615863314085982,0.018797380379047737
A.2_pfail,A.5_pfail,0.004712541061820997,0.01885523878839729
A.2_pfail,discount rate 0,0.0044452224706054925,0.019897076635428976
A.2_pfail,discount rate 1,0.0028736823850719424,0.018751006703145487
A.2_pfail,discount rate 2,0.002615248132408825,0.01851062353948597
A.3_Bmax,A.3_Brate,0.0007769698701971185,0.0011271914418484877
A.3_Bmax,A.3_pfail,0.0007141130408947483,0.0009031805469098572
A.3_Bmax,A.4_Bmax,0.0007759234168063496,0.0011260231571695702
A.3_Bmax,A.4_Brate,0.0007759215014032594,0.0011260235013819616
A.3_Bmax,A.4_pfail,0.0007867222248699487,0.0011265800348798883
A.3_Bmax,A.5_Bmax,0.0007759215014032596,0.0011260235013819616
A.3_Bmax,A.5_Brate,0.0007759215014032596,0.0011260235013819616
A.3_Bmax,A.5_pfail,0.0007203759681258387,0.0010700489698091476
