epsilon_progress,nfe
0,0
23,100
84,1100
138,2193
198,3289
249,4385
298,5480
332,6567
377,7642
390,8706
403,9773
415,10894
419,11899
423,12904
423,13914
424,15077
427,16259
427,17446
431,18649
433,19837
433,21034
437,22220
438,23221
438,24395
440,25587
440,26587
441,27762
443,28765
445,29950
445,31152
446,32352
448,33356
448,34552
449,35746
449,36943
449,38141
450,39332
451,40336
451,41540
452,42735
452,43937
452,45137
452,46138
453,47336
455,48342
455,49544
456,50742
456,51754
456,52765
456,53770
456,54968
457,55971
457,57171
458,58179
458,59189
458,60195
458,61201
458,62205
458,63216
458,64412
460,65420
460,66426
460,67615
460,68818
460,69823
460,70921
460,72000
460,73039
460,74096
460,75127
460,76182
460,77255
460,78316
460,79358
460,80406
460,81461
460,82519
460,83571
460,84631
460,85696
460,86759
460,87800
460,88863
460,89906
460,90976
460,92019
460,93071
460,94111
460,95170
460,96222
460,97269
460,98332
461,99407
461,100198
