A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
71,37.451987753221864,10.0,0.9128046850971839,259.47233258134685,10.0,0.7732994228677376,170.7230201344637,1.5,0.4828841978031666,134.62762993232798,1.0,0.6246411461779038,231.55570369615586,1.5,0.02320902535307308,4.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,0,Best Policy,dikesnet,467169699.21457356,149184888.60441038,0
39,149.71022957660242,1.5,0.4105684673616703,67.8051558841945,10.0,0.6234009460704789,74.27283577824144,1.5,0.5511720154210602,95.7579412390346,10.0,0.31453181335248453,287.5555880899537,1.0,0.7171490449026996,3.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,1,Best Policy,dikesnet,6302565.580497653,149184888.60441038,0
66,51.02377559812737,1.0,0.35078600317542524,40.04095303106829,10.0,0.42712561587491643,302.01173508339485,10.0,0.16807296332088126,191.06597834501073,10.0,0.5252556249016169,224.92057535427296,1.5,0.03047085907445277,2.5,3.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,2,Best Policy,dikesnet,414467844.4235676,149184888.60441038,0
60,306.0106437752439,10.0,0.14984302171848002,263.93987324601153,10.0,0.7293857444772018,162.51645410355377,1.0,0.27287813210842804,68.34647001047048,1.0,0.07423681642700534,258.73508211899986,10.0,0.7079902515645005,2.5,1.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,3,Best Policy,dikesnet,1506840212.7477405,149184888.60441038,0
9,332.1536434732854,1.5,0.6918555305535357,338.3218059371227,1.0,0.5852073735059824,295.18755919431885,1.0,0.6172699581161663,59.720985854759306,1.0,0.02278294066533707,187.13600059979015,1.5,0.30152703543922316,1.5,4.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,4,Best Policy,dikesnet,105851618.01953587,149184888.60441038,0
3,294.94940413952344,1.5,0.4008038553594504,204.22352589406876,10.0,0.19122356483414782,233.00742598518605,1.5,0.8308638372008339,42.38430694493914,1.5,0.737866069599063,125.08444855342852,10.0,0.40603923798097624,3.5,3.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,5,Best Policy,dikesnet,24433887.91567533,149184888.60441038,0
53,217.1987189433346,10.0,0.47822105926051,285.37692681234296,1.0,0.4228657655316238,36.633187819760494,10.0,0.017784078479563443,110.42830562976366,1.5,0.3559351421964133,60.84612650204538,1.0,0.1981336313755069,4.5,2.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,6,Best Policy,dikesnet,1092939490.480684,149184888.60441038,0
67,115.48860607341476,1.0,0.34593575285941186,155.83380681017533,10.0,0.11130048375584028,82.01258593123663,10.0,0.17605406296009607,301.3526927278246,10.0,0.9699581084623878,220.97043472882604,1.5,0.3406468910541032,2.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,7,Best Policy,dikesnet,113670249.25899063,149184888.60441038,0
89,226.10333058195584,1.0,0.7113747198361189,268.8995013040626,1.0,0.9389253906069203,153.63354440168013,1.5,0.5432528036079085,152.7708397799617,1.5,0.6955045248816958,81.0622653748859,1.0,0.849041401517701,1.5,4.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,8,Best Policy,dikesnet,558866.5492016814,149184888.60441038,0
123,301.30915831416064,1.0,0.5708077761050006,211.07080356858123,1.5,0.3201580954081228,293.83168672264003,1.5,0.026428926671000302,119.37978338094777,1.5,0.028064052200692233,125.38172943350943,1.5,0.3729966555039928,3.5,1.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,9,Best Policy,dikesnet,1103500019.9772923,149184888.60441038,0
70,32.47299448917736,10.0,0.4531286863132928,160.99995199409324,1.0,0.9145194002810184,45.704726933426635,1.5,0.39299402577322934,69.37899747767308,10.0,0.054330234835752875,325.29845507278816,1.0,0.341841156545223,1.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,10,Best Policy,dikesnet,140825378.55570704,149184888.60441038,0
