epsilon_progress,nfe
0,0
20,100
83,1194
150,2291
214,3385
265,4472
296,5537
306,6554
317,7569
326,8614
329,9642
332,10679
332,11702
335,12736
335,13772
337,14800
339,15831
339,16871
342,17918
344,18978
349,20065
355,21187
358,22263
363,23360
363,24467
364,25581
367,26682
368,27771
368,28870
368,29979
368,31104
369,32239
369,33352
369,34481
369,35609
369,36728
371,37866
371,38978
371,40093
372,41095
372,42226
374,43347
374,44458
374,45593
374,46593
374,47595
374,48757
374,49913
374,51041
374,52172
374,53293
374,54417
374,55551
374,56692
374,57815
374,58957
374,60096
374,61251
374,62410
374,63569
374,64722
374,65865
374,67025
374,68175
374,69313
374,70451
374,71608
374,72750
374,73897
374,75051
374,76209
374,77373
374,78539
374,79690
374,80836
374,81981
374,83113
374,84238
374,85381
374,86526
374,87678
374,88839
374,89979
374,91139
374,92299
374,93441
374,94578
374,95756
374,96915
374,98087
374,99230
374,100000
